,id,date_creat,date_decla,date_publi,date_disso,groupement,objet,adrs_libvoie,adrs_codepostal,adrs_libcommune,position,objet_cat,nom,annee_creat,membres,benefices,code_parent,libelle_parent
181,W033002954,2010-05-06,2012-06-28,2010-06-05,2012-05-01,S,"pratique de tous travaux d'aiguilles, tricot, crochet, couture, points comptés",,3120,Le  Breuil,D,7,LA PASSION DU FIL ET DES AIGUILLES,2010,168,5916,7,"CLUBS DE LOISIRS, RELATIONS"
182,W033000266,2003-10-06,2004-11-03,2004-11-27,0001-01-01,S,Pratique du tennis. Organisation de tournois.,  IMP des Turiers,3300,Creuzier-le-Neuf,A,11,A.S. TURIERS-TENNIS-TOUNOIS,2003,15,10258,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
183,W032007114,2022-11-07,2022-11-07,2022-11-15,0001-01-01,S,fédérer les étudiants d'un même établissement,Ifi 03 - Bde 11 RTE de Paris,3000,Avermes,A,15,BDE,2022,119,6138,15,ÉDUCATION  FORMATION
184,W032003340,2016-10-28,2016-10-28,2016-11-26,0001-01-01,S,fédérer les étudiants de l'ESPE Moulins-Clermont-Auvergne ; mettre en place des partenariats avec d'autres établissements scolaires,Bureau B9 - ESPE Moulins 28 RUE des Geais,3000,Moulins,A,15,LES PPIB,2016,171,8125,15,ÉDUCATION  FORMATION
185,W033002124,1978-04-14,2006-10-26,1978-04-29,0001-01-01,S,Pratique du tennis et de l'education physique,MAIRIE,3260,Billy,A,11,TENNIS CLUB BILLYSSOIS,1978,43,24458,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
186,W033007566,2022-03-22,2022-06-29,2022-03-29,0001-01-01,S,"enseigner, entraîner, promouvoir et développer le rugby à 7 en fauteuil",Espace du Parc CTRE Omnisport,3206,Vichy Cedex,A,11,AVR,2022,51,14755,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
187,W032002477,1991-05-03,2011-03-02,1991-05-29,2011-02-23,S,vulgariser la pratique du vtt,,3290,Dompierre-sur-Besbre,D,11,V.T.T. EVASION,1991,62,25903,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
188,W031003221,2018-02-05,2018-02-05,2018-02-17,0001-01-01,S,"réunir un groupe de personnes afin de partager des expériences, d'entretenir des relations, de favoriser des rencontres humaines autour d'activités de loisirs, de sport, de voyages et de bricolage",25 RUE de Beau Rivage,3100,Lavault-Sainte-Anne,A,6,TOMUACH,2018,184,6164,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
189,W031001096,1990-01-22,2021-01-11,1990-02-21,0001-01-01,S,apporter une aide aux défavorisés en France et dans le monde suivant les statuts du S.P.F;,"3 RUE du 1er Mai Espace ""arc en ciel""",3600,Commentry,A,20,SECOURS POPULAIRE FRANCAIS COMITE D...,1990,102,5286,20,"ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT"
190,W032002515,1964-05-26,2011-06-01,0001-01-01,2011-05-31,S,pratique du football,,3210,Besson,D,11,BALLON BESSONNAIS,1964,60,24213,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
191,W032000502,2000-05-24,2020-10-26,2000-06-17,0001-01-01,S,"Association culturelles comprenant 4 activités: théâtre, chant, danse et jeux ""pyramide""",mairie  ,3460,Trévol,A,7,ASTRE 2000,2000,180,2631,7,"CLUBS DE LOISIRS, RELATIONS"
192,W032001565,1986-11-17,2005-12-01,1986-12-03,0001-01-01,S,Organiser developper en prolongement de l'education physique et sportive donnee pendant les heures de scolarite a l'initiation et la pratique sportives,,3000,Neuvy,A,11,ASSOCIATION SPORTIVE DU LEP AGRICOL...,1986,120,2207,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
193,W031002231,2000-03-21,2001-10-23,2000-04-15,0001-01-01,S,actions humanitaires dans le but de nourrir et scolariser les enfants francophones du tiers monde,36 RUE Lucas de Nehou,3100,Montluçon,A,20,PLANETE HARMONIE,2000,143,10554,20,"ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT"
194,W031002471,2013-01-31,2022-02-02,2013-02-16,0001-01-01,S,"découverte et progression entre ses membres de l'art du dessin, de l'aquarelle et de l'acrylique",20 RUE de Blanzat,3100,Montluçon,A,6,LES TUBES DE COULEUR,2013,113,2181,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
195,W033002160,1986-10-29,2022-09-06,1986-11-12,0001-01-01,S,"Permettre de pratiquer des activites telles que bridge, echec, scrabble, sorties champetres, repas amicaux",Maison des Associations PL de l'Hôtel de Ville,3200,Vichy,A,7,BRIDGE CLUB VICHYSSOIS,1986,7,18403,7,"CLUBS DE LOISIRS, RELATIONS"
196,W031002187,1969-06-25,2011-04-22,1969-07-26,0001-01-01,S,défense des droits des anciens combattants de la résistance et aide aux résistants nécessiteux,Mairie,3410,Domérat,A,38,COMITE DE L'ASSOCIATION NATIONALE DES,1969,59,13247,38,"ARMÉE (DONT  PRÉPARATION MILITAIRE, MÉDAILLES), ANCIENS COMBATTANTS"
