,id,date_creat,date_decla,date_publi,date_disso,groupement,objet,adrs_libvoie,adrs_codepostal,adrs_libcommune,position,objet_cat,nom,annee_creat,membres,benefices,code_parent,libelle_parent
44,W033003218,2012-06-15,2019-02-28,2012-06-23,0001-01-01,S,pratiquer et encourager l'activité touristique à vélo en général sur route à VTT ou VTC,Mairie 2 RUE Maurice Dupont,3150,Saint-Gérand-le-Puy,A,11,ACSG,2012,107,16262,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
45,W033001645,1994-07-21,2019-07-15,1994-08-10,0001-01-01,S,"Pratique sportive du badminton, formation et perfectionnement des animateurs",  PL de l'Hôtel de Ville,3150,Varennes-sur-Allier,A,11,VARENNES BADMINTON CLUB (V.B.C),1994,88,14424,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
46,W032001919,2008-05-05,2016-09-30,2008-05-17,0001-01-01,S,promotion de la culture par des moyens diversifiés,14   RUE François Péron,3000,Moulins,A,6,"L'ANGE ASSIS, L'AIMANT BLEU",2008,70,10809,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
47,W033001450,1998-03-18,2022-02-03,1998-04-18,2022-01-31,S,Entretenir des liens entre les jeunes ; organiser des sorties sportives et culturelles ; participer a la vie de la commune,SALLE DES JEUNES   LE BOURG,3250,Laprugne,D,9,ASSOCIATION DES JEUNES DE LAPRUGNE,1998,60,16438,9,ACTION SOCIOCULTURELLE
48,W031000856,1988-06-06,2011-05-10,1988-07-13,2011-04-29,S,"Donner de l'animation a la ville d'Ainay leChateau en permettant aux habitants, adultes et enfants, d'occuper leur temps libre à diverses animations",RUE des Mazes,3360,Saint-Bonnet-Tronçais,D,7,ASSOCIATION CULTURE ET LOISIRS,1988,6,28627,7,"CLUBS DE LOISIRS, RELATIONS"
49,W033007574,2022-03-28,2022-03-28,2022-04-05,0001-01-01,S,"la réflexion, la formation, le développement intellectuel autour de la fructification de l'épargne de chacun",5 RUE du clos Dallon,3300,Creuzier-le-Vieux,A,23,ADOPTE UNE INTELLIGENCE FINANCIÈRE,2022,159,6138,23,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
50,W033007571,2022-03-25,2022-03-25,2022-04-05,0001-01-01,S,"promouvoir le musée boucheix et le rayonnement des oeuvres du maître françois boucheix, chevalier des arts et des lettres",7 RUE Sornin,3200,Vichy,A,6,MUSÉE BOUCHEIX,2022,81,22277,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
51,W033003242,1978-06-21,2017-10-09,1978-06-29,2017-09-10,S,"favoriser la protection et le repeuplement du gibier, la répression du braconnage, la destruction des animaux nuisibles et la défense des intérêts agricoles",35 RUE du Château,3110,Charmeil,D,13,SOCIÉTÉ DE CHASSE DE CHARMEIL,1978,138,23948,13,CHASSE PÊCHE
52,W031006741,2023-03-16,2023-03-16,2023-03-28,0001-01-01,S,"promouvoir la danse dans différentes structures ; faire de l'évènementiel (spectacles, concerts, etc.) bénévolement",Mairie 25 RUE de la République,3190,Estivareilles,A,6,SEKELE'DANSE COMPAGNIE,2023,69,25175,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
53,W032007176,2023-05-24,2023-05-24,2023-05-30,0001-01-01,S,"organiser des actions communes pour les femmes (exemples : journée de la femme, octobre rose)",1518 RTE des Trèfoux,3230,Thiel-sur-Acolin,A,19,POUR ELLES,2023,157,24235,19,INTERVENTIONS SOCIALES
54,W033003717,2016-03-15,2016-03-15,2016-04-02,0001-01-01,S,a pour but d'assurer la promotion et la diffusion de la culture et de l'art musical et de promouvoir la pratique amateur de la musique pour tout public : organisation de concerts et de festivals,33 RUE de Moulins,3260,Saint-Germain-des-Fossés,A,6,LES GUIZMO,2016,151,26529,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
55,W033001807,1994-02-21,1994-02-21,1994-04-06,0001-01-01,S,Association a vocation agricole afin de proceder a l'affutage des pieux.,  Pré Juillet,3150,Boucé,A,10,AFFUTE-PIEUX BOUCETOIS,1994,69,17744,10,PRÉSERVATION DU PATRIMOINE
