"id","id_ex","siret","rup_mi","gestion","date_creat","date_decla","date_publi","date_disso","groupement","objet","adrs_libvoie","adrs_codepostal","adrs_libcommune","siteweb","position","objet_cat","objet_list","nom","annee_creat","membres","benefices"
"W033001450","0033006753","","","033S","1998-03-18","2022-02-03","1998-04-18","2022-01-31","S","Entretenir des liens entre les jeunes ; organiser des sorties sportives et culturelles ; participer a la vie de la commune","SALLE DES JEUNES   LE BOURG","03250","Laprugne","","D","009","['009005', '000000']","ASSOCIATION DES JEUNES DE LAPRUGNE","1998",60,16438
"W031000856","0031003189","","","031S","1988-06-06","2011-05-10","1988-07-13","2011-04-29","S","Donner de l'animation a la ville d'Ainay leChateau en permettant aux habitants, adultes et enfants, d'occuper leur temps libre à diverses animations","RUE des Mazes","03360","Saint-Bonnet-Tronçais","","D","007","['007000', '007075']","ASSOCIATION CULTURE ET LOISIRS","1988",6,28627
"W033007574","","","","033S","2022-03-28","2022-03-28","2022-04-05","0001-01-01","S","la réflexion, la formation, le développement intellectuel autour de la fructification de l'épargne de chacun","5 RUE du clos Dallon","03300","Creuzier-le-Vieux","","A","023","['023000', '000000']","ADOPTE UNE INTELLIGENCE FINANCIÈRE","2022",159,6138
"W033007571","","","","033S","2022-03-25","2022-03-25","2022-04-05","0001-01-01","S","promouvoir le musée boucheix et le rayonnement des oeuvres du maître françois boucheix, chevalier des arts et des lettres","7 RUE Sornin","03200","Vichy","https://boucheix-musee.com","A","006","['006100', '000000']","MUSÉE BOUCHEIX","2022",81,22277
"W033003242","0033003497","","","033S","1978-06-21","2017-10-09","1978-06-29","2017-09-10","S","favoriser la protection et le repeuplement du gibier, la répression du braconnage, la destruction des animaux nuisibles et la défense des intérêts agricoles","35 RUE du Château","03110","Charmeil","","D","013","['013000', '000000']","SOCIÉTÉ DE CHASSE DE CHARMEIL","1978",138,23948
"W031006741","","","","031S","2023-03-16","2023-03-16","2023-03-28","0001-01-01","S","promouvoir la danse dans différentes structures ; faire de l'évènementiel (spectacles, concerts, etc.) bénévolement","Mairie 25 RUE de la République","03190","Estivareilles","","A","006","['006040', '000000']","SEKELE'DANSE COMPAGNIE","2023",69,25175
"W032007176","","","","032P","2023-05-24","2023-05-24","2023-05-30","0001-01-01","S","organiser des actions communes pour les femmes (exemples : journée de la femme, octobre rose)","1518 RTE des Trèfoux","03230","Thiel-sur-Acolin","","A","019","['019000', '000000']","POUR ELLES","2023",157,24235
"W033003717","","","","033S","2016-03-15","2016-03-15","2016-04-02","0001-01-01","S","a pour but d'assurer la promotion et la diffusion de la culture et de l'art musical et de promouvoir la pratique amateur de la musique pour tout public : organisation de concerts et de festivals","33 RUE de Moulins","03260","Saint-Germain-des-Fossés","http://www.facebook.fr/lesguizmo","A","006","['006030', '000000']","LES GUIZMO","2016",151,26529
"W033001807","0033005989","","","033S","1994-02-21","1994-02-21","1994-04-06","0001-01-01","S","Association a vocation agricole afin de proceder a l'affutage des pieux.","  Pré Juillet","03150","Boucé","","A","010","['010022', '000000']","AFFUTE-PIEUX BOUCETOIS","1994",69,17744
"W031000948","0031004797","","","031S","2002-09-02","2005-03-24","2002-09-28","0001-01-01","S","Promouvoir des actions servant les intérêts de l'EDSM FOOTBALL sous toutes ses formes","1 QUAI Barbés","03100","Montluçon","","A","011","['011000', '011075']","LES AMIS DE L'EDSM FOOTBALL","2002",200,17778
"W032001063","0032005241","","","032P","2003-10-23","2011-11-03","2003-11-29","0001-01-01","S","Sauvegarde et rénovation du château de Saint Augustin","","03320","Château-sur-Allier","","A","010","['010015', '000000']","LES AMIS DE SAINT AUGUSTIN","2003",35,16788
"W031002504","","","","031S","2013-04-30","2013-04-30","2013-05-11","0001-01-01","S","la valorisation et la promotion de la race blonde d'aquitaine en france","","03420","Saint-Fargeol","","A","010","['010022', '000000']","ASSOCIATION BLONDES DES COMBRAILLES","2013",69,16956
"W031001057","0031003880","","","031S","1994-12-15","2017-03-10","0001-01-01","0001-01-01","S","Assurer les relations entre les étudiants, les professeurs et la direction du département, informer de toutes les manifestations étudiantes et culturelles, organiser des manifestations.","AV Aristide Briand","03100","Montluçon","","A","015","['015065', '000000']","ASSOCIATION DES ETUDIANTS EN GENIE ...","1994",110,20651
"W032003401","","","","032P","2017-04-10","2017-04-10","2017-04-15","0001-01-01","S","soutenir et développer la recherche en musicothérapie et en holopsonie certains jeudis dans l'année","LD Le pont de l'Etau","03320","Lurcy-Lévis","","A","006","['006030', '000000']","LES JEUDIS DE LURCY","2017",131,21939
